water_year,All taxa,Acartia Adult,Acartiella sinensis Adult,Daphnia Adult,Diaphanosoma Adult,Eurytemora affinis Adult,Eurytemora affinis Juvenile,Limnoithona tetraspina Adult,Neomysis mercedis Adult,Pseudodiaptomus forbesi Adult,Pseudodiaptomus Juvenile,Tortanus Adult,Hyperacanthomysis longirostris Adult,Neomysis kadiakensis Adult
1996,12168.79041,207.7462043,830.3019642,1270.377302,280.7035791,601.2680461,429.476955,1342.704229,675.6787216,2791.21537,3421.735209,1363.149036,5.749151322,184.6945611
1997,17182.70324,64.96524422,1120.501349,1871.189545,344.8371898,871.0136433,607.6901602,2592.946711,560.1480757,2446.264395,4476.428781,2522.087951,18.10929086,310.5114961
1998,20627.55856,59.92395605,507.8574027,1289.164018,120.8068393,936.246632,1177.877303,2095.211286,350.548819,6638.050065,7216.242762,372.7422172,18.09629616,395.2338504
1999,25017.32767,550.4724198,23.06589875,2010.939112,487.771335,2609.934361,2556.209363,4492.393463,314.3276197,3762.840627,6807.700751,1554.284866,36.71303609,211.3334979
2000,24245.37459,651.2920672,111.9580533,3241.696165,697.7428864,1080.562525,1537.632913,3561.096453,592.8237534,4123.638558,7582.615514,1101.244842,85.65838617,859.49627
2001,18907.04011,1476.410137,1387.94652,2166.226022,613.6504915,785.634473,2119.622591,3980.039141,351.310656,1068.695394,4080.73724,891.400429,8.58919954,783.9360827
2002,27834.00929,1024.038921,1285.507695,2696.22647,1358.085822,986.0239909,2227.795965,6722.096188,89.70020743,3596.486494,6318.427723,1271.532254,15.08701462,550.4705596
2003,24946.14799,2650.126395,1340.540208,2558.452398,904.0420549,1042.118466,2170.087477,4413.725826,68.19117793,2994.243023,5651.031749,660.0190217,13.52345014,930.4849606
2004,20660.16327,865.7761548,1686.179215,1958.64097,738.4469737,942.889264,2295.696791,4431.464255,123.4218583,2583.618472,4007.18097,943.1301595,10.14171947,370.2554308
2005,17311.7288,796.6032381,1310.471717,854.2854944,244.0215552,1215.649601,2668.560288,2692.407061,191.5630425,2674.325273,4414.57549,549.221875,11.14893228,338.50132
2006,21051.73675,556.8087024,971.0128498,918.1302326,141.045813,1332.147066,2420.931261,3055.805195,290.4606324,6261.796702,5144.012314,470.7844407,22.13618855,466.8262838
2007,22687.2717,1104.643719,1447.670716,1940.82206,755.3030545,1077.205073,2928.178989,2548.676968,30.8296164,4007.869242,5813.94753,671.234953,567.9674928,248.1052993
2008,26062.11135,1090.120395,1559.344392,1822.651181,675.1303511,2726.720689,4491.038075,3960.184648,140.7535452,4021.919905,4432.873876,1209.275234,19.14028549,1818.423228
2009,20479.35765,951.4370205,1690.419216,1620.559371,424.0368868,998.5437136,2373.160681,3724.041857,23.67837789,3325.456789,4466.328922,939.9236295,2.164844963,373.0938285
2010,21002.9246,1778.925483,1226.979585,1155.855171,513.3576755,1068.619902,2405.284772,2484.543228,100.3062239,4494.758349,4950.277805,840.5335663,102.4688301,264.1166449
2011,17936.80341,447.5722234,1975.097677,532.2704291,170.7620759,853.3739359,1532.446611,1625.03581,299.2314258,5665.849386,4436.734239,439.4157029,549.9036543,466.8735406
2012,19880.12998,762.8697891,1166.2929,937.9817155,874.6313188,832.2149479,1263.402703,3358.793996,113.5375479,4508.346342,4939.086642,1162.402037,507.5404812,304.8646536
2013,25590.70337,177.0711749,1599.466403,3311.25184,801.5249729,911.1526341,1264.944886,3328.833531,22.8125773,5383.605602,6792.57475,1135.04482,980.7722437,686.9968671
2014,36929.71627,402.6204525,1848.184002,3616.616862,1436.44187,1190.565593,3136.44315,3727.919238,3.369223882,8213.260406,9569.86343,2071.463231,1054.601051,1933.763809
2015,33703.3739,38.33568436,2138.753237,5524.838227,1399.933863,868.0234088,1460.25866,4488.354098,1.250756807,7286.979893,7294.894344,2287.585346,788.5049335,2447.959826
2016,34441.96543,54.06955313,2095.766791,4867.308562,1855.067031,1439.90886,3889.179754,4012.011348,372.6116999,5569.814448,7850.689694,1836.592171,589.3215462,3071.65718
2017,34034.53872,22.95002187,1745.445808,823.7570399,446.1129875,1158.493324,2599.068858,3905.135747,948.1646277,8754.170461,12347.40545,624.3889726,1742.009151,2187.878013
2018,29878.6241,233.5921513,2461.683239,748.2973204,2406.421916,1454.683955,2899.807555,3130.20608,213.0067089,6806.29696,7770.959669,1343.373388,1007.344762,1384.26644
2019,28366.82102,137.6856804,2160.804033,1279.613819,804.5054201,1484.31796,2424.082084,3685.714914,264.4722158,8016.638426,7884.755173,986.2343271,72.23427111,1586.07113
2020,2141.471597,785.8426996,1030.771693,109.496,18.679,253.1379271,554.0817657,3328.93583,33.15575752,3282.745791,1183.628564,1357.80981,13.43533861,1228.746548
